experiment_id	phase	executor	precision	work_units	count	information_class	primary_gate
L0.1	runtime_cuda	local_rtx5090	fp16_matmul	kernel_smoke	1	ENGINEERING	cuda_kernel_success
L0.2	runtime_generation	Qwen3-4B|Qwen3-8B|Qwen3-14B	uniform_4bit	generation_probe	27	ENGINEERING	no_oom_in_required_cells
L0.3	runtime_soak	Qwen3-4B|Qwen3-8B|Qwen3-14B	uniform_4bit	generation_probe	60	ENGINEERING	no_crash_or_memory_growth
L1.1	action_contract	mock_executor	na	deterministic_fixture	80	ENGINEERING	all_contract_cases_pass
L2.1	source_baseline	Qwen3-4B|Qwen3-8B	uniform_4bit	episode	20	DEV_SOURCE_BRANCH	replay_hash_ge_0.95
L2.2	replay_audit	Qwen3-4B|Qwen3-8B	uniform_4bit	prefix_replay	40	DEV_SOURCE_BRANCH	no_silent_retry
L3.1	source_branch	Qwen3-4B|Qwen3-8B	uniform_4bit	branch_continuation	160	DEV_SOURCE_BRANCH	branch_start_hash_exact
L3.2	branch_repeat	Qwen3-4B|Qwen3-8B	uniform_4bit	branch_continuation	32	DEV_SOURCE_VALIDATION	action_sign_stability_ge_0.70
L4.1	synthetic_transport	cpu	float64	simulation	100	ENGINEERING	all_mechanism_assertions_pass
L5.1	dev_target_calibration	Qwen3-14B	uniform_4bit	episode	6	DEV_TARGET_BASELINE	target_action_outcomes_zero
L5.2	dev_target_final	Qwen3-14B	uniform_4bit	episode	64	DEV_TARGET_FINAL	all_eight_methods_complete
L5.3	post_seal_oracle	Qwen3-14B	uniform_4bit	branch_continuation	32	DEV_POST_SEAL_ORACLE	no_policy_refit
L6.1	resume_handoff	mock_and_local	na	fault_injection	3	ENGINEERING	no_overwrite_or_duplicate_run_id

